State	Day/Night	Population Density	Nearest Police Station	Crime Taken Place
Andhra Pradesh	Night	14601	4	Yes
Andhra Pradesh	Night	15319	2.7	Yes
Andhra Pradesh	Night	15736	3.1	Yes
Andhra Pradesh	Night	3148	6.8	Yes
Andhra Pradesh	Night	3854	5.4	Yes
Andhra Pradesh	Night	3582	1.9	Yes
Andhra Pradesh	Night	3211	8.6	Yes
Andhra Pradesh	Night	12653	4.5	Yes
Andhra Pradesh	Night	13211	0.9	Yes
Andhra Pradesh	Night	13748	4.8	Yes
Andhra Pradesh	Night	9555	12.1	Yes
Andhra Pradesh	Night	8163	17.2	Yes
Andhra Pradesh	Night	6266	23.9	Yes
Andhra Pradesh	Night	6879	21.1	Yes
Andhra Pradesh	Night	7223	15.4	Yes
Andhra Pradesh	Night	7789	11.6	Yes
Andhra Pradesh	Night	5411	31.5	Yes
Andhra Pradesh	Night	5632	33.3	Yes
Andhra Pradesh	Night	4932	36.2	Yes
Andhra Pradesh	Night	3156	21.3	Yes
Andhra Pradesh	Night	7399	17.6	Yes
Andhra Pradesh	Night	6821	32.6	Yes
Andhra Pradesh	Night	7348	29.7	Yes
Andhra Pradesh	Day	14683	8.9	Yes
Andhra Pradesh	Day	15896	6.3	Yes
Andhra Pradesh	Day	3785	23.5	Yes
Andhra Pradesh	Day	4131	30.6	Yes
Andhra Pradesh	Day	12116	2.7	Yes
Andhra Pradesh	Day	13624	0.8	Yes
Arunachal Pradesh	Night	2541	14	Yes
Arunachal Pradesh	Night	1013	77	Yes
Assam	Night	4800	3.5	Yes
Assam	Night	3000	4	Yes
Assam	Night	3750	4.5	Yes
Assam	Night	3200	5	Yes
Assam	Night	3500	6	Yes
Assam	Night	2800	6.5	Yes
Assam	Night	2750	5.5	Yes
Assam	Night	3100	7	Yes
Assam	Night	2950	8	Yes
Assam	Night	3300	6	Yes
Assam	Night	2850	7.5	Yes
Assam	Night	2600	9	Yes
Assam	Night	3600	7	Yes
Assam	Night	3800	7.5	Yes
Assam	Night	3050	8	Yes
Assam	Night	2750	9	Yes
Assam	Night	2450	9.5	Yes
Assam	Night	2350	10	Yes
Assam	Night	3300	7	Yes
Assam	Night	2400	9	Yes
Assam	Night	2900	8.5	Yes
Assam	Night	2800	8	Yes
Assam	Night	3000	8.5	Yes
Assam	Night	2200	9.5	Yes
Assam	Night	1950	10	Yes
Assam	Night	2100	9.5	Yes
Assam	Night	2850	8	Yes
Assam	Night	3100	7	Yes
Assam	Night	2750	8.5	Yes
Assam	Night	2200	10	Yes
Assam	Night	2500	9	Yes
Assam	Night	2150	9	Yes
Assam	Night	2650	10	Yes
Assam	Night	2900	8	Yes
Assam	Night	2750	8.5	Yes
Assam	Night	2500	9	Yes
Assam	Night	2650	9.5	Yes
Assam	Night	2550	10	Yes
Assam	Night	2900	8.5	Yes
Assam	Night	2350	10	Yes
Assam	Night	2800	9	Yes
Assam	Night	2587	8.4	Yes
Assam	Day	2631	9.2	Yes
Assam	Day	2911	7.5	Yes
Assam	Day	2950	8.5	Yes
Assam	Day	2677	9.4	Yes
Assam	Day	2700	8.05	Yes
Assam	Day	2901	8.7	Yes
Assam	Day	2856	8.3	Yes
Assam	Day	2534	9.6	Yes
Assam	Day	4721	2.1	Yes
Assam	Day	3998	7.3	Yes
Bihar	Night	14800	3	Yes
Bihar	Night	8000	4.5	Yes
Bihar	Night	5900	5	Yes
Bihar	Night	6200	5	Yes
Bihar	Night	6500	6	Yes
Bihar	Night	5800	6.5	Yes
Bihar	Night	5600	6	Yes
Bihar	Night	4800	7	Yes
Bihar	Night	5000	7.5	Yes
Bihar	Night	6300	6.5	Yes
Bihar	Night	4700	7	Yes
Bihar	Night	4900	7.5	Yes
Bihar	Night	5300	7.5	Yes
Bihar	Night	4600	8	Yes
Bihar	Night	4800	7	Yes
Bihar	Day	3900	8.5	Yes
Bihar	Day	4200	8	Yes
Bihar	Day	3800	7.5	Yes
Bihar	Day	4100	8	Yes
Chhattisgarh	Night	5500	4	Yes
Chhattisgarh	Night	3500	6	Yes
Chhattisgarh	Night	4000	6.5	Yes
Chhattisgarh	Night	5800	4.5	Yes
Chhattisgarh	Night	3800	6	Yes
Chhattisgarh	Night	3200	7	Yes
Chhattisgarh	Night	2900	8	Yes
Chhattisgarh	Night	3000	7	Yes
